控制点	超越概率	Amax(gal)	βm	αmax	T1（秒）	Tg（秒）	r
K1	T=50年,P=63%	55.8 	3.0	0.171 	0.1	0.4	0.9
K1	T=50年,P=10%	149.6 	3.0	0.458 	0.1	0.4	0.9
K1	T=50年,P=2%	254.8 	2.9	0.754 	0.1	0.45	0.9
K1	T=100年,P=63%	80.4 	2.9	0.238 	0.1	0.4	0.9
K1	T=100年,P=10%	196.2 	2.9	0.581 	0.1	0.4	0.9
K1	T=100年,P=2%	293.2 	3.0	0.897 	0.1	0.45	0.9
K2	T=50年,P=63%	55.6 	3.0	0.170 	0.1	0.4	0.9
K2	T=50年,P=10%	148.7 	3.0	0.455 	0.1	0.4	0.9
K2	T=50年,P=2%	248.7 	3.0	0.761 	0.1	0.45	0.9
K2	T=100年,P=63%	78.3 	3.0	0.240 	0.1	0.4	0.9
K2	T=100年,P=10%	196.0 	2.8	0.560 	0.1	0.4	0.9
K2	T=100年,P=2%	292.7 	3.0	0.896 	0.1	0.45	0.9
K3	T=50年,P=63%	52.5 	2.9	0.155 	0.1	0.4	0.9
K3	T=50年,P=10%	148.1 	2.8	0.423 	0.1	0.4	0.9
K3	T=50年,P=2%	251.9 	2.8	0.720 	0.1	0.6	0.9
K3	T=100年,P=63%	77.7 	2.8	0.222 	0.1	0.4	0.9
K3	T=100年,P=10%	194.6 	2.8	0.556 	0.1	0.5	0.9
K3	T=100年,P=2%	285.4 	2.8	0.815 	0.1	0.65	0.9
K4	T=50年,P=63%	53.4 	3.0	0.163 	0.1	0.4	0.9
K4	T=50年,P=10%	143.1 	2.7	0.394 	0.1	0.4	0.9
K4	T=50年,P=2%	241.9 	2.8	0.691 	0.1	0.6	0.9
K4	T=100年,P=63%	75.6 	3.0	0.231 	0.1	0.4	0.9
K4	T=100年,P=10%	196.5 	2.7	0.541 	0.1	0.45	0.9
K4	T=100年,P=2%	289.5 	2.8	0.827 	0.1	0.65	0.9
K5	T=50年,P=63%	56.7 	3.0	0.174 	0.1	0.4	0.9
K5	T=50年,P=10%	153.7 	2.9	0.455 	0.1	0.4	0.9
K5	T=50年,P=2%	248.1 	2.9	0.734 	0.1	0.45	0.9
K5	T=100年,P=63%	83.5 	2.9	0.247 	0.1	0.4	0.9
K5	T=100年,P=10%	197.8 	3.0	0.606 	0.1	0.45	0.9
K5	T=100年,P=2%	289.3 	3.0	0.885 	0.1	0.45	0.9
K6	T=50年,P=63%	55.3 	3.0	0.169 	0.1	0.4	0.9
K6	T=50年,P=10%	155.9 	2.8	0.445 	0.1	0.4	0.9
K6	T=50年,P=2%	260.4 	2.6	0.691 	0.1	0.5	0.9
K6	T=100年,P=63%	84.2 	2.9	0.249 	0.1	0.4	0.9
K6	T=100年,P=10%	198.9 	2.6	0.528 	0.1	0.45	0.9
K6	T=100年,P=2%	301.3 	2.7	0.830 	0.1	0.55	0.9
K7	T=50年,P=63%	52.3 	3.0	0.160 	0.1	0.4	0.9
K7	T=50年,P=10%	147.2 	2.6	0.391 	0.1	0.4	0.9
K7	T=50年,P=2%	244.8 	2.8	0.699 	0.1	0.65	0.9
K7	T=100年,P=63%	78.5 	2.8	0.224 	0.1	0.4	0.9
K7	T=100年,P=10%	193.1 	2.6	0.512 	0.1	0.5	0.9
K7	T=100年,P=2%	289.6 	2.8	0.828 	0.1	0.65	0.9
K8	T=50年,P=63%	55.7 	2.8	0.159 	0.1	0.4	0.9
K8	T=50年,P=10%	148.8 	2.6	0.395 	0.1	0.4	0.9
K8	T=50年,P=2%	245.2 	2.6	0.651 	0.1	0.65	0.9
K8	T=100年,P=63%	80.1 	2.8	0.229 	0.1	0.4	0.9
K8	T=100年,P=10%	188.7 	2.6	0.501 	0.1	0.5	0.9
K8	T=100年,P=2%	287.9 	2.6	0.764 	0.1	0.65	0.9
K9	T=50年,P=63%	51.1 	3.0	0.156 	0.1	0.4	0.9
K9	T=50年,P=10%	144.1 	3.0	0.441 	0.1	0.4	0.9
K9	T=50年,P=2%	248.0 	2.8	0.708 	0.1	0.5	0.9
K9	T=100年,P=63%	77.5 	3.0	0.237 	0.1	0.4	0.9
K9	T=100年,P=10%	190.2 	2.7	0.524 	0.1	0.45	0.9
K9	T=100年,P=2%	293.4 	2.7	0.808 	0.1	0.55	0.9
