钻孔编号	层号	ds(m)	 土名	"ρc
(%)"	"Ni
(击)"	"Ncri
(击)"	"(1-Ni/Ncri)
×diWi"	判别结果	 αmax
k1#	2	1.25-1.55	粉土夹粉砂	10	6	2.7	－	不液化	0.10g
k1#	2	2.15-2.45	粉土夹粉砂	11	8	3.14	－	不液化	0.10g
k1#	2	3.15-3.45	粉土夹粉砂	12	4	3.44	－	不液化	0.10g
k1#	2	4.15-4.45	粉土	13.4	7	3.58	－	不液化	0.10g
k1#	3	5.15-5.45	粉土	15.1	8	3.63	－	不液化	0.10g
k1#	3	6.15-6.45	粉土	16.5	16	3.68	－	不液化	0.10g
k1#	3	7.15-7.45	粉土	13.5	15	4.26	－	不液化	0.10g
k1#	3	8.15-8.45	粉土	9.6	16	5.24	－	不液化	0.10g
k1#	3	9.15-9.45	粉土	14.5	22	4.41	－	不液化	0.10g
k1#	3	10.15-10.45	粉砂	3	25	9.96	－	不液化	0.10g
k1#	3	11.15-11.45	粉砂	3	29	10.2	－	不液化	0.10g
k1#	4	12.15-12.45	粉砂	3	32	10.41	－	不液化	0.10g
k1#	4	13.15-13.45	粉砂	3	34	10.6	－	不液化	0.10g
k1#	4	14.15-14.45	粉砂	3	25	10.77	－	不液化	0.10g
k1#	4	15.15-15.45	粉砂	3	37	10.93	－	不液化	0.10g
k1#	4	16.15-16.45	粉砂	3	40	11.07	－	不液化	0.10g
k1#	4	17.15-17.45	粉砂	3	41	11.2	－	不液化	0.10g
k1#	5	18.15-18.45	粉砂	3	42	11.32	－	不液化	0.10g
k1#	5	19.15-19.45	粉砂	3	52	11.44	－	不液化	0.10g
k1#	5	20.15-20.45	粉土	18	55	4.71	－	不液化	0.10g
k1#	5	21.25-21.45	粉土	19	54	4.62	－	不液化	0.10g
k1#	6	22.15-22.45	粉土	22	21	4.33	－	不液化	0.10g
k1#	6	23.15-23.45	粉土	24	21	4.17	－	不液化	0.10g
k1#	6	24.15-24.45	粉土	21	27	4.49	－	不液化	0.10g
k1#	6	25.15-25.45	粉土	27	25	3.98	－	不液化	0.10g
k1#	6	26.15-26.45	粉土	22	23	4.44	－	不液化	0.10g
k1#	6	27.15-27.45	粉土	26	24	4.1	－	不液化	0.10g
k1#	7	28.15-28.45	粉土	21	26	4.59	－	不液化	0.10g
k1#	7	29.15-29.45	粉土	23	21	4.41	－	不液化	0.10g
k1#	2	1.25-1.55	粉土夹粉砂	10	6	3.69	－	不液化	0.15g
k1#	2	2.15-1.45	粉土夹粉砂	11	8	4.29	－	不液化	0.15g
k1#	2	3.15-3.45	粉土夹粉砂	12	4	4.69	－	液化	0.15g
k1#	2	4.15-4.45	粉土	13.4	7	4.88	－	不液化	0.15g
k1#	3	5.15-5.45	粉土	15.1	8	4.95	－	不液化	0.15g
k1#	3	6.15-6.45	粉土	16.5	16	5.01	－	不液化	0.15g
k1#	3	7.15-7.45	粉土	13.5	15	5.8	－	不液化	0.15g
k1#	3	8.15-8.45	粉土	9.6	16	7.15	－	不液化	0.15g
k1#	3	9.15-9.45	粉土	14.5	22	6.01	－	不液化	0.15g
k1#	3	10.15-10.45	粉砂	3	25	13.58	－	不液化	0.15g
k1#	3	11.15-11.45	粉砂	3	29	13.91	－	不液化	0.15g
k1#	4	12.15-12.45	粉砂	3	32	14.2	－	不液化	0.15g
k1#	4	13.15-13.45	粉砂	3	34	14.46	－	不液化	0.15g
k1#	4	14.15-14.45	粉砂	3	25	14.69	－	不液化	0.15g
k1#	4	15.15-15.45	粉砂	3	37	14.91	－	不液化	0.15g
k1#	4	16.15-16.45	粉砂	3	40	15.1	－	不液化	0.15g
k1#	4	17.15-17.45	粉砂	3	41	15.28	－	不液化	0.15g
k1#	5	18.15-18.45	粉砂	3	42	15.44	－	不液化	0.15g
k1#	5	19.15-19.45	粉砂	3	52	15.59	－	不液化	0.15g
k1#	5	20.15-20.45	粉土	18	55	6.42	－	不液化	0.15g
k1#	5	21.25-21.45	粉土	19	54	6.3	－	不液化	0.15g
k1#	6	22.15-22.45	粉土	22	21	5.9	－	不液化	0.15g
k1#	6	23.15-23.45	粉土	24	21	5.69	－	不液化	0.15g
k1#	6	24.15-24.45	粉土	21	27	6.12	－	不液化	0.15g
k1#	6	25.15-25.45	粉土	27	25	5.43	－	不液化	0.15g
k1#	6	26.15-26.45	粉土	22	23	6.05	－	不液化	0.15g
k1#	6	27.15-27.45	粉土	26	24	5.6	－	不液化	0.15g
k1#	7	28.15-28.45	粉土	21	26	6.26	－	不液化	0.15g
k1#	7	29.15-29.45	粉土	23	21	6.01	－	不液化	0.15g
k1#	2	1.25-1.55	粉土夹粉砂	10	6	4.51	－	不液化	0.20g
k1#	2	2.15-1.45	粉土夹粉砂	11	8	5.24	－	不液化	0.20g
k1#	2	3.15-3.45	粉土夹粉砂	9	4	6.62	0.6	液化	0.20g
k1#	2	4.15-4.45	粉土	13.4	7	5.97	－	不液化	0.20g
k1#	3	5.15-5.45	粉土	15.1	8	6.05	－	不液化	0.20g
k1#	3	6.15-6.45	粉土	16.5	16	6.13	－	不液化	0.20g
k1#	3	7.15-7.45	粉土	13.5	15	7.09	－	不液化	0.20g
k1#	3	8.15-8.45	粉土	9.6	16	8.74	－	不液化	0.20g
k1#	3	9.15-9.45	粉土	14.5	22	7.34	－	不液化	0.20g
k1#	3	10.15-10.45	粉砂	3	25	16.6	－	不液化	0.20g
k1#	3	11.15-11.45	粉砂	3	29	17	－	不液化	0.20g
k1#	4	12.15-12.45	粉砂	3	32	17.35	－	不液化	0.20g
k1#	4	13.15-13.45	粉砂	3	34	17.67	－	不液化	0.20g
k1#	4	14.15-14.45	粉砂	3	25	17.96	－	不液化	0.20g
k1#	4	15.15-15.45	粉砂	3	37	18.22	－	不液化	0.20g
k1#	4	16.15-16.45	粉砂	3	40	18.46	－	不液化	0.20g
k1#	4	17.15-17.45	粉砂	3	41	18.67	－	不液化	0.20g
k1#	5	18.15-18.45	粉砂	3	42	18.87	－	不液化	0.20g
k1#	5	19.15-19.45	粉砂	3	52	19.06	－	不液化	0.20g
k1#	5	20.15-20.45	粉土	18	55	7.85	－	不液化	0.20g
k1#	5	21.25-21.45	粉土	19	54	7.7	－	不液化	0.20g
k1#	6	22.15-22.45	粉土	22	21	7.21	－	不液化	0.20g
k1#	6	23.15-23.45	粉土	24	21	6.95	－	不液化	0.20g
k1#	6	24.15-24.45	粉土	21	27	7.48	－	不液化	0.20g
k1#	6	25.15-25.45	粉土	27	25	6.64	－	不液化	0.20g
k1#	6	26.15-26.45	粉土	22	23	7.4	－	不液化	0.20g
k1#	6	27.15-27.45	粉土	26	24	6.84	－	不液化	0.20g
k1#	7	28.15-28.45	粉土	21	26	7.65	－	不液化	0.20g
k1#	7	29.15-29.45	粉土	23	21	7.34	－	不液化	0.20g
k1#	2	1.25-1.55	粉土夹粉砂	10	6	5.79	－	不液化	0.30g
k1#	2	2.15-1.45	粉土夹粉砂	11	8	6.74	－	不液化	0.30g
k1#	2	3.15-3.45	粉土夹粉砂	9	4	8.51	0.47	液化	0.30g
k1#	2	4.15-4.45	粉土	13.4	7	7.67	0.91	液化	0.30g
k1#	3	5.15-5.45	粉土	15.1	8	7.77	－	不液化	0.30g
k1#	3	6.15-6.45	粉土	16.5	16	7.88	－	不液化	0.30g
k1#	3	7.15-7.45	粉土	13.5	15	9.12	－	不液化	0.30g
k1#	3	8.15-8.45	粉土	9.6	16	11.24	－	不液化	0.30g
k1#	3	9.15-9.45	粉土	14.5	22	9.44	－	不液化	0.30g
k1#	3	10.15-10.45	粉砂	3	25	21.34	－	不液化	0.30g
k1#	3	11.15-11.45	粉砂	3	29	21.85	－	不液化	0.30g
k1#	4	12.15-12.45	粉砂	3	32	22.31	－	不液化	0.30g
k1#	4	13.15-13.45	粉砂	3	34	22.72	－	不液化	0.30g
k1#	4	14.15-14.45	粉砂	3	25	23.09	－	不液化	0.30g
k1#	4	15.15-15.45	粉砂	3	37	23.42	－	不液化	0.30g
k1#	4	16.15-16.45	粉砂	3	40	23.73	－	不液化	0.30g
k1#	4	17.15-17.45	粉砂	3	41	24.01	－	不液化	0.30g
k1#	5	18.15-18.45	粉砂	3	42	24.27	－	不液化	0.30g
k1#	5	19.15-19.45	粉砂	3	52	24.5	－	不液化	0.30g
k1#	5	20.15-20.45	粉土	18	55	10.09	－	不液化	0.30g
k1#	5	21.25-21.45	粉土	19	54	9.9	－	不液化	0.30g
k1#	6	22.15-22.45	粉土	22	21	9.27	－	不液化	0.30g
k1#	6	23.15-23.45	粉土	24	21	8.94	－	不液化	0.30g
k1#	6	24.15-24.45	粉土	21	27	9.62	－	不液化	0.30g
k1#	6	25.15-25.45	粉土	27	25	8.54	－	不液化	0.30g
k1#	6	26.15-26.45	粉土	22	23	9.51	－	不液化	0.30g
k1#	6	27.15-27.45	粉土	26	24	8.79	－	不液化	0.30g
k1#	7	28.15-28.45	粉土	21	26	9.83	－	不液化	0.30g
k1#	7	29.15-29.45	粉土	23	21	9.44	－	不液化	0.30g
k2#	2	1.15-1.45	粉土夹粉砂	9.5	10	－	－	不液化	0.10g
k2#	2	2.15-2.45	粉土夹粉土	16.4	9	－	－	不液化	0.10g
k2#	2	3.15-3.45	粉土夹粉土	14.8	8	－	-	不液化	0.10g
k2#	3	4.15-4.45	粉土	20.1	6	－	－	不液化	0.10g
k2#	3	5.15-5.45	粉土	20.3	6	－	－	不液化	0.10g
k2#	3	6.15-6.45	粉土	22.4	7	－	－	不液化	0.10g
k2#	4	7.15-7.45	粉土	21.7	8	－	－	不液化	0.10g
k2#	4	8.15-8.45	粉土	19.5	6	－	－	不液化	0.10g
