层
序
号	地层岩性	土类
编号	层底深度
(m)	层厚
(m)	密度
(t/m3)	剪切波速度
(m/s)	备 注
1	素填土	1	1.5	1.5	1.65	161	输出层位
2	粉土	3	3.5	2.0	2.02	194	
3	粉土	4	7.6	4.1	2.02	241	
4	粉砂	2	11.0	3.4	1.85	247	
5	粉砂	2	14.2	3.2	1.85	248	
6	粉砂	2	17.2	3.0	1.85	293	
7	粉砂	2	21.7	4.5	1.85	306	
8	粉土	7	25.0	3.3	2.03	324	
9	粉土	7	27.5	2.5	2.03	354	
10	粉质黏土	8	30.5	3.0	2.05	353	
11	粉质黏土	8	32.5	2.0	1.99	353	
12	粉质黏土	9	35.5	3.0	1.99	371	
13	粉质黏土	10	38.6	3.1	1.99	392	
14	粉质黏土	11	42.6	4.0	1.83	428	
15	粉质黏土	11	44.8	2.2	1.99	446	
16	粉质黏土	12	49.0	4.2	1.83	457	
17	粉质黏土	-	-	-	1.98	527	输入层位
