试样编号	施加围压（kPa）	剪应变γ参数	5×10-6	1×10-5	5×10-5	1×10-4	5×10-4	1×10-3	5×10-3	1×10-2
3-1	100	G/Gmax	0.9861	0.9787	0.9655	0.9523	0.8864	0.7579	0.1056	0.0822
3-1	100	λd	0.0132	0.0173	0.0313	0.0396	0.0692	0.0898	0.1351	0.1401
3-2	100	G/Gmax	0.9923	0.9886	0.9754	0.9688	0.9326	0.8733	0.1583	0.1156
3-2	100	λd	0.0042	0.0099	0.0272	0.0355	0.0618	0.0766	0.1129	0.1195
3-3	300	G/Gmax	0.9822	0.9556	0.8963	0.8667	0.7579	0.6196	0.0924	0.0752
3-3	300	λd	0.0198	0.0248	0.0388	0.0474	0.0799	0.1055	0.1582	0.1648
3-4	400	G/Gmax	0.9901	0.9785	0.9553	0.9457	0.8996	0.8172	0.1418	0.1046
3-4	400	λd	0.0083	0.0142	0.033	0.0424	0.0722	0.0874	0.1236	0.1302
3-5	400	G/Gmax	0.9805	0.9457	0.8733	0.8371	0.7019	0.4944	0.0759	0.0571
3-5	400	λd	0.0264	0.0322	0.047	0.0564	0.0939	0.1203	0.164	0.1695
3-6	400	G/Gmax	0.9863	0.9655	0.926	0.9062	0.8304	0.7316	0.1155	0.0927
3-6	400	λd	0.0132	0.0191	0.0335	0.0412	0.0701	0.0906	0.1376	0.1458
3-7	400	G/Gmax	0.9814	0.949	0.8798	0.8436	0.7184	0.5372	0.0825	0.0623
3-7	400	λd	0.0206	0.0248	0.0379	0.0478	0.0832	0.1096	0.1615	0.1689
3-8	400	G/Gmax	0.983	0.9589	0.9062	0.8798	0.7909	0.669	0.0921	0.0751
3-8	400	λd	0.0157	0.0206	0.0346	0.0425	0.0709	0.0939	0.1392	0.1465
3-9	400	G/Gmax	0.9764	0.9392	0.8701	0.8304	0.6855	0.4812	0.0727	0.0492
3-9	400	λd	0.0285	0.0331	0.0475	0.0569	0.0906	0.1187	0.1689	0.1738
3-10	400	G/Gmax	0.976	0.9392	0.8634	0.8238	0.6756	0.4384	0.0694	0.0473
3-10	400	λd	0.0256	0.0303	0.0462	0.0561	0.0931	0.1195	0.1656	0.1705
5-1	100	G/Gmax	0.9876	0.9782	0.9655	0.9523	0.8862	0.7678	0.1056	0.0805
5-1	100	λd	0.0124	0.0173	0.0312	0.0388	0.0676	0.0865	0.1335	0.1384
5-2	300	G/Gmax	0.9919	0.982	0.9724	0.9625	0.9062	0.7942	0.132	0.0962
5-2	300	λd	0.0075	0.0132	0.0278	0.0371	0.0655	0.0824	0.1236	0.1341
5-3	300	G/Gmax	0.9863	0.9751	0.9556	0.9392	0.8601	0.725	0.0991	0.0755
5-3	300	λd	0.0157	0.019	0.0322	0.0412	0.0709	0.0898	0.1368	0.1436
5-4	400	G/Gmax	0.9895	0.9787	0.9658	0.9551	0.8964	0.7777	0.1254	0.0901
5-4	400	λd	0.0108	0.0157	0.0295	0.0386	0.0668	0.0857	0.1294	0.1359
5-5	400	G/Gmax	0.9754	0.9589	0.9194	0.8864	0.6921	0.4318	0.0595	0.0434
5-5	400	λd	0.0305	0.033	0.0437	0.0528	0.089	0.1203	0.173	0.1786
5-6	400	G/Gmax	0.9812	0.9688	0.9326	0.9095	0.7382	0.5075	0.0792	0.0602
5-6	400	λd	0.0248	0.028	0.0391	0.0474	0.0816	0.1079	0.1615	0.1651
5-7	400	G/Gmax	0.9785	0.9622	0.926	0.8963	0.6918	0.4285	0.0727	0.0513
5-7	400	λd	0.0272	0.0297	0.0396	0.0478	0.0824	0.1145	0.1672	0.1722
5-8	400	G/Gmax	0.983	0.9721	0.949	0.9261	0.8205	0.6426	0.0957	0.0771
5-8	400	λd	0.0165	0.0206	0.0313	0.0379	0.0659	0.0915	0.1483	0.1541
8-2	100	G/Gmax	0.9843	0.9754	0.9556	0.9457	0.8798	0.7316	0.0957	0.0761
8-2	100	λd	0.0157	0.0206	0.0346	0.0429	0.0742	0.0964	0.1409	0.1458
8-3	300	G/Gmax	0.9919	0.9824	0.9686	0.9589	0.9227	0.8568	0.1484	0.1063
8-3	300	λd	0.0058	0.0116	0.028	0.0379	0.0668	0.0808	0.117	0.1228
8-4	300	G/Gmax	0.9732	0.9326	0.8436	0.7975	0.6426	0.4021	0.0628	0.0416
8-4	300	λd	0.0305	0.0355	0.0468	0.0563	0.0948	0.1252	0.1731	0.1763
8-5	400	G/Gmax	0.9754	0.9359	0.8601	0.8172	0.6657	0.4252	0.0727	0.0519
8-5	400	λd	0.0264	0.0305	0.0429	0.0528	0.089	0.1219	0.1714	0.1763
8-6	400	G/Gmax	0.9851	0.9622	0.9194	0.8963	0.8205	0.7118	0.0992	0.0739
8-6	400	λd	0.0173	0.0231	0.0363	0.0462	0.075	0.0964	0.145	0.1523
