"土样编号"	"土样定名"	"取样深度（m）"	"含水率
(%)"	"湿密度
g/cm3"	"干密度
g/cm3"	"液限
%"	"塑限
%"	"塑性
指数"

3-1	粉土	5.0-5.2	23.7	2.02	1.63	26.5	18	8.5
3-2	粉土	9.0-9.2	17	2.12	1.81	20.5	15.3	5.2
3-3	粉土	22.0-22.2	18.4	2.03	1.71	28	18.4	9.6
3-4	粉土	25.0-25.2	19.1	1.96	1.65	24.8	17.3	7.5
3-5	粉土	27.0-27.2	18	2.05	1.74	28.5	18.7	9.8
3-6	粉质黏土	34.0-34.2	21.2	1.99	1.64	31.8	20.5	11.3
3-7	粉质黏土	37.0-37.2	20.9	2.1	1.74	34.9	21.8	13.1
3-8	粉质黏土	40.0-40.2	21.8	1.99	1.64	29.5	19.3	10.2
3-9	粉质黏土	47.0-47.2	27.8	1.83	1.43	38.2	23.2	15
3-10	粉质黏土	53.0-53.2	22.7	1.98	1.61	33.1	21.1	12
5-1	粉土	9.0-9.2	25.3	1.97	1.57	28.4	19	9.4
5-2	粉土	24.8-25.0	21.4	2.01	1.66	25.4	17.6	7.8
5-3	粉土	29.8-30.0	26.9	2.03	1.6	29.2	19.4	9.8
5-4	粉土	34.8-35.0	23.3	1.98	1.61	26.3	18	8.3
5-5	粉质黏土	40.0-40.2	27.7	2	1.57	34.7	21.7	13
5-6	粉质黏土	44.8-45.0	24.6	1.98	1.59	36.6	22.5	14.1
5-7	粉质黏土	47.0-47.2	23	2.08	1.69	37.9	23	14.9
5-8	粉质黏土	51.0-51.2	22.3	2.08	1.7	39.5	23.7	15.8
8-1	粉土	4.0-4.2	23.8	1.94	1.56	28.5	18.6	8.9
8-2	粉土	8.0-8.2	24.3	2.04	1.64	28.8	19.2	9.6
8-3	粉土	22.0-22.2	19.2	2.05	1.72	22	16	6
8-4	粉土	23.0-23.2	24.2	2.07	1.67	29.6	19.8	9.8
8-5	粉土	25.0-25.2	23.3	1.96	1.59	27.7	18.4	9.3
8-6	粉土	28.0-28.2	22.7	1.94	1.58	27.2	18.1	9.1
8-7	粉土	31.0-31.2	18.3	2.01	1.7	29	19.5	9.5
8-8	粉土	35.0-35.2	20.3	1.96	1.63	27.3	18.4	8.9
8-9	粉质黏土	40.0-40.2	25	2.03	1.62	37.2	22.7	14.5
8-10	粉质黏土	45.0-45.2	17.4	2.06	1.75	37.7	22.9	14.8
8-11	粉质黏土	52.0-52.2	17.3	2.06	1.75	32.5	20.8	11.7
